3.9770	1.6021
2.9180	3.7818
3.7353	3.0171
4.3295	1.4838
1.5005	0.6320
0.3337	0.3877
4.7451	3.3582
3.4280	2.0237
4.3502	2.0856
0.2451	0.4365
2.1316	3.6058
2.8132	3.5734
0.7425	2.2178
2.1945	2.2665
0.3653	3.5358
3.8216	1.3783
4.2517	0.9740
3.8433	4.1768
4.7570	0.9407
3.5067	4.8549
0.5365	3.0284
3.2354	2.2522
2.9486	1.0531
4.9249	2.7764
1.6370	2.8336
2.5855	4.7893
2.5908	0.4348
2.9572	3.0477
1.1188	4.6651
1.4779	4.8808
1.5075	1.2245
3.7048	0.1218
0.4085	4.0764
0.3333	1.8067
0.7990	0.4876
3.4057	2.3513
4.3178	4.6888
2.2713	0.0301
4.6900	3.6460
1.7238	4.3501
1.7999	2.6225
3.7558	4.0336
3.8684	1.5894
1.6472	4.5959
0.3829	2.2791
0.8629	0.7647
2.0038	0.6321
2.0948	0.2720
4.5753	2.2976
2.7721	1.9891
3.4115	0.6120
3.2449	0.0339
0.9668	1.2467
3.4846	1.1368
3.7490	0.3714
2.5256	2.4515
2.2329	0.7356
0.9731	2.6604
0.2900	1.1842
4.2691	1.6620
2.4534	3.6603
2.2174	2.8327
2.1741	1.3970
2.6499	1.5707
3.3423	2.6144
2.0766	1.1602
1.6848	0.7052
4.8171	1.8257
4.7818	4.2813
4.3687	1.3045
0.7887	3.5017
2.7207	0.7784
2.0683	4.8272
4.7458	2.5782
4.0391	1.6483
1.7082	3.2791
0.1551	1.8620
3.3887	3.1680
4.2748	0.7259
2.8415	0.7806
0.3728	0.0780
4.6355	1.1992
1.5589	1.1913
3.8282	2.7589
2.1142	0.0159
0.0371	2.4621
1.0322	0.9903
1.7161	3.3714
4.8670	1.9005
2.3393	0.8234
1.3724	0.3630
2.6813	0.6179
1.5951	0.9161
1.3673	4.1753
4.2811	2.9900
1.7731	2.4228
0.6197	1.4428
2.6556	3.0818
4.4826	0.4633
0.1060	4.4372
3.6497	3.6600
3.4073	0.5760
4.5124	2.4248
2.2709	0.8365
0.9539	4.9672
3.1334	1.5038
3.6266	3.5814
1.8498	4.3686
4.7475	3.1359
4.3259	2.6180
2.6889	3.8417
3.0160	0.2347
4.7641	0.6759
1.9738	3.3978
2.5918	4.3230
4.6136	2.1893
2.1664	1.0691
3.8272	0.6301
2.2169	0.5989
1.0442	2.4909
